description,MET
"Guitar, rock and roll band, standing #1 #1​ (ID428)",3.0
"Marching band, baton twirling, walking, moderate pace, general #1 #1​ (ID429)",4.0
"Marching band, playing an instrument, walking, brisk pace, general #1 #1​ (ID430)",5.5
"Marching band, drum major, walking #1 #1​ (ID431)",3.5
"Active workstation, Pedal desk, balance chair/ball, General, light effort #1 #1​ (ID432)",2.0
"Active workstation, Pedal desk #1 #1​ (ID433)",3.5
"Active workstation, Pedal desk #2 #1​ (ID434)",5.3
"Active workstation, treadmill desk, walking slowly 1.0 mph or less #1 #1​ (ID435)",2.0
"Active workstation, treadmill desk, walking  1.0 - 2.0 mph #1 #1​ (ID436)",2.8
Airline flight attendant #1 #1​ (ID437),3.0
Apple Harvesting #1 #1​ (ID438),4.8
"Bakery, general, moderate effort #1 #1​ (ID439)",4.0
"Bakery, light effort #1 #1​ (ID440)",2.0
Bookbinding #1 #1​ (ID441),2.3
"Building road, driving heavy machinery #1 #1​ (ID442)",6.0
"Building road, directing traffic, standing #1 #1​ (ID443)",2.0
"Carpentry, general, light effort #1 #1​ (ID444)",2.5
"Carpentry, general, moderate effort #1 #1​ (ID445)",4.3
"Carpentry, general, heavy or vigorous effort #1 #1​ (ID446)",7.0
Carrying heavy loads #1 #1​ (ID447),8.0
"Carrying moderate loads up stairs, moving  boxes, 25-49 lbs #1 #1​ (ID448)",8.0
"Chambermaid, hotel housekeeper, making bed,  cleaning bathroom, pushing cart #1 #1​ (ID449)",4.0
"Cleaning, vacuuming commercial space #1 #1​ (ID450)",4.3
"Coal mining, drilling coal, rock #1 #1​ (ID451)",5.3
"Coal mining, erecting supports #1 #1​ (ID452)",5.0
"Coal mining, general #1 #1​ (ID453)",5.5
"Coal mining, shoveling coal, by hand #1 #1​ (ID454)",6.3
"Cook, chef #1 #1​ (ID455)",2.5
"Construction, outside, remodeling, new  structures #1 #1​ (ID456)",4.0
"Construction, rebar, bar bending/fixing #1 #1​ (ID457)",2.3
"Custodial work, light effort #1 #1​ (ID458)",2.3
"Custodial work, moderate effort #1 #1​ (ID459)",3.8
Electrical work #1 #1​ (ID460),3.3
Engineer #1 #1​ (ID461),1.8
"Farming, vigorous effort #1 #1​ (ID462)",7.8
"Farming, moderate effort #1 #1​ (ID463)",4.8
"Farming, light effort, #1 #1​ (ID464)",2.0
"Farming, driving tasks #1 #1​ (ID465)",2.8
"Farming, feeding small animals #1 #1​ (ID466)",3.5
"Farming, feeding cattle, horses #1 #1​ (ID467)",4.3
"Farming, hauling water for animals, fetching  water from well or stream #1 #1​ (ID468)",4.3
"Farming, taking care of animals #1 #1​ (ID469)",4.5
"Farming, rice, planting, grain milling activities #1 #1​ (ID470)",3.8
"Farming, milking by hand, cleaning pails,  moderate effort #1 #1​ (ID471)",3.5
"Farming, milking by machine, light effort #1 #1​ (ID472)",1.3
"Farming, milking Cows, full milking process, modern milking parlor with milking machines #1 #1​ (ID473)",3.0
"Fire fighter, general #1 #1​ (ID474)",8.0
"Fire fighter, rescue victim, automobile  accident, using pike pole #1 #1​ (ID475)",6.8
"Fire fighter, raising and climbing ladder with  full gear, simulated fire suppression #1 #1​ (ID476)",8.0
"Fire fighter, hauling hoses on ground,  carrying/hoisting equipment, breaking down  walls etc., wearing full gear #1 #1​ (ID477)",9.0
"Fishing, commercial, light effort #1 #1​ (ID478)",3.5
"Fishing, commercial, moderate effort #1 #1​ (ID479)",5.0
"Forestry, ax chopping, very fast, 1.25 kg axe,  51 blows/min, extremely vigorous effort #1 #1​ (ID480)",17.5
"Forestry, ax chopping, slow, 1.25 kg axe, 19  blows/min, moderate effort #1 #1​ (ID481)",5.0
"Forestry, ax chopping, fast, 1.25 kg axe, 35  blows/min, vigorous effort #1 #1​ (ID482)",8.0
"Forestry, moderate effort #1 #1​ (ID483)",5.0
"Forestry, vigorous effort #1 #1​ (ID484)",8.5
Furriery #1 #1​ (ID485),4.8
"Garbage collector, walking, dumping bins into truck, street cleaning #1 #1​ (ID486)",3.8
Hairstylist #1 #1​ (ID487),1.8
"Horse grooming, including feeding, cleaning  stalls, bathing, brushing, clipping, longeing and  exercising horses. #1 #1​ (ID488)",7.3
"Horse, feeding, watering, cleaning stalls, implied walking and lifting loads #1 #1​ (ID489)",4.3
"Horseback riding, working, cutting cows #1 #1​ (ID490)",4.5
"Horse racing, galloping, cantor #1 #1​ (ID491)",7.8
"Horse racing, Jockey, trotting #1 #1​ (ID492)",6.3
"Horse racing, Jockey, walking #1 #1​ (ID493)",2.3
Kitchen maid #1 #1​ (ID494),3.0
"Lawn keeper, yardwork, general #1 #1​ (ID495)",4.0
"Lawn keeper, weeding, gas powered #1 #1​ (ID496)",3.0
Laundry worker #1 #1​ (ID497),3.3
Locksmith #1 #1​ (ID498),3.0
Machine tooling #1 #1​ (ID499),3.0
"Machine tooling, operating punch press,  moderate effort #1 #1​ (ID500)",5.0
"Manager, property #1 #1​ (ID501)",1.8
"Manual or unskilled labor, general, light effort #1 #1​ (ID502)",2.8
"Manual or unskilled labor, general, moderate effort #1 #1​ (ID503)",4.5
"Manual or unskilled labor, general, vigorous effort #1 #1​ (ID504)",6.5
"Masonary, concrete, moderate effort #1 #1​ (ID505)",4.3
"Masonry, concrete, light effort #1 #1​ (ID506)",2.5
"Massage therapist, standing #1 #1​ (ID507)",5.5
"Mail carrier, walking to deliver mail #1 #1​ (ID508)",2.3
"Mail delivery, motorbike #1 #1​ (ID509)",1.5
"Mail delivery, Electronically Assisted Bicycle #1 #1​ (ID510)",3.5
"Moving, carrying or pushing heavy objects, 75  lbs or more, only active time #1 #1​ (ID511)",7.5
"Mining, general services, drilling, mining support jobs #1 #1​ (ID512)",8.5
"Skindiving or SCUBA diving as a frogman,  Navy Seal #1 #1​ (ID513)",12.0
"Operating heavy duty equipment, automated,  not driving #1 #1​ (ID514)",2.5
"Orange grove work, picking fruit #1 #1​ (ID515)",3.5
"Painting, house, furniture, moderate effort #1 #1​ (ID516)",3.3
Plumbing activities #1 #1​ (ID517),3.0
"Printing, paper industry worker, standing #1 #1​ (ID518)",2.0
"Police Officer, Walking #1 #1​ (ID519)",3.8
"Police, directing traffic, standing #1 #1​ (ID520)",2.5
"Police, driving a squad car, sitting #1 #1​ (ID521)",2.0
"Police, riding in a squad car, sitting #1 #1​ (ID522)",1.3
"Police, making an arrest, standing #1 #1​ (ID523)",4.0
"Counter terrorism maneuvers, clearing building #1 #1​ (ID524)",9.0
"Shoe repair, general #1 #1​ (ID525)",2.0
"Shoveling, digging ditches #1 #1​ (ID526)",7.3
"Shoveling, more than 16 lbs/minute, deep  digging, vigorous effort #1 #1​ (ID527)",8.8
"Shoveling, less than 10 lbs/minute, moderate  effort #1 #1​ (ID528)",5.0
"Shoveling, 10 to 15 lbs/minute, vigorous effort #1 #1​ (ID529)",6.5
"Sitting tasks, light effort #1 #1​ (ID530)",1.5
"Sitting, computer work #1 #1​ (ID531)",1.3
"Standing workstation, typing, computer work #1 #1​ (ID532)",1.3
"Sitting meetings, light effort, general, and/or with talking involved #1 #1​ (ID533)",1.3
"Sitting tasks, moderate effort #1 #1​ (ID534)",2.5
"Sitting, teaching stretching or yoga, or light  effort exercise classes #1 #1​ (ID535)",2.8
"Standing tasks, light effort #1 #1​ (ID536)",1.8
"Standing, light/moderate effort #1 #1​ (ID537)",3.3
"Standing, moderate effort, lifting items  continuously, 10 – 20 lbs, with limited walking  or resting #1 #1​ (ID538)",4.5
"Standing, moderate effort, intermittent lifting  50 lbs, hitch or twisting ropes #1 #1​ (ID539)",3.8
"Standing, moderate/heavy tasks #1 #1​ (ID540)",4.5
"Patient care, healthcare activites #1 #1​ (ID541)",2.3
"Patient care, room cleaning/preperation #1 #1​ (ID542)",3.5
"Steel mill, moderate effort #1 #1​ (ID543)",5.3
"Steel mill, vigorous effort #1 #1​ (ID544)",8.3
"Tailoring, cutting fabric #1 #1​ (ID545)",2.3
"Tailoring, general #1 #1​ (ID546)",2.5
"Tailoring, hand sewing #1 #1​ (ID547)",1.8
"Tailoring, machine sewing #1 #1​ (ID548)",2.5
"Tailoring, pressing #1 #1​ (ID549)",3.5
"Tailoring, weaving, light effort #1 #1​ (ID550)",2.0
"Tailoring, weaving, moderate effort #1 #1​ (ID551)",4.0
"Truck driving, loading and unloading truck,  tying down load, standing, walking and  carrying heavy loads #1 #1​ (ID552)",6.5
"Truck driving, delivery truck, taxi, shuttlebus,  school bus #1 #1​ (ID553)",2.0
"Typing, electric, manual or computer #1 #1​ (ID554)",1.3
Using heavy power tools such as pneumatic  tools #1 #1​ (ID555),6.3
Using heavy tools #1 #1​ (ID556),7.8
"Walking on job, less than 2.0 mph, very slow  speed, in office or lab area #1 #1​ (ID557)",2.0
"Walking on job, 2.8 to 3.4 mph, in office, moderate  speed, not carrying anything #1 #1​ (ID558)",3.8
"Walking on job, 3.5 to 3.9 mph, in office, brisk speed,  not carrying anything #1 #1​ (ID559)",4.8
"Walking on job, 2.5 mph, slow speed, carrying  light objects less than 25 lbs #1 #1​ (ID560)",3.5
"Walking, gathering things at work, ready to  leave #1 #1​ (ID561)",3.0
"Walking, 2.5 mph, slow speed, carrying heavy  objects more than 25 lbs #1 #1​ (ID562)",3.8
"Walking, 3.0 mph, moderately and carrying  light objects less than 25 lbs #1 #1​ (ID563)",4.5
"Walking, pushing a wheelchair #1 #1​ (ID564)",3.8
"Walking, 3.5 mph, briskly and carrying objects  less than 25 lbs #1 #1​ (ID565)",4.5
"Walking or walk downstairs or standing,  carrying objects about 25 to 49 lbs #1 #1​ (ID566)",4.0
"Walking or walk downstairs or standing,  carrying objects about 50 to 74 lbs #1 #1​ (ID567)",5.5
"Walking or walk downstairs or standing,  carrying objects about 75 to 99 lbs #1 #1​ (ID568)",7.0
"Walking or walk downstairs or standing,  carrying objects about 100 lbs or more #1 #1​ (ID569)",7.3
"Warehouse/Shipping Center, Loading/Unloading boxes #1 #1​ (ID570)",2.3
"Warehouse/Shipping Center, Moving boxes #1 #1​ (ID571)",4.3
"Working in scene shop, theater actor, backstage  employee #1 #1​ (ID572)",3.0
"Soldiers, military marching, unloaded 1.5-2.5 mph #1 #1​ (ID573)",3.5
"Soldiers, military marching, 1.5-2.5 mph, 10 to 30 kg load #1 #1​ (ID574)",4.0
"Airborne Shuffle, 2.5 to 3.5 mph, 20-30 kg load #1 #1​ (ID575)",5.0
"Soldiers, military loaded marching, varying terrain, 25-40 kg load #1 #1​ (ID576)",6.3
"Soldiers, walking, 2.8 mph, 5% grade, up to 21.5 kg load #1 #1​ (ID577)",6.0
"Soldiers, walking,  2.8 mph, 10% grade, up to 21.5 kg load #1 #1​ (ID578)",8.5
"Soldiers, walking,  2.8 mph, 15% grade, up to 21.5 kg load #1 #1​ (ID579)",11.0
"Military activities, arterial field preparation, digging defensive positions #1 #1​ (ID580)",6.0
Jog/walk combination #1 #1​ (ID581),6.0
"Jogging, general, self-selected pace #1 #1​ (ID582)",7.5
"Jogging, in place #1 #1​ (ID583)",4.8
Jogging 2.6 to 3.7 mph #1 #1​ (ID584),3.3
Jogging on a mini-tramp #1 #1​ (ID585),4.5
"Running, 4 to 4.2 mph #1 #1​ (ID586)",6.5
Running 4.3 to 4.8 mph #1 #1​ (ID587),7.8
"Running, 5.0 to 5.2 mph #1 #1​ (ID588)",8.5
"Running, 5.5 -5.8 mph #1 #1​ (ID589)",9.0
"Running, 6-6.3 mph #1 #1​ (ID590)",9.3
"Running, 6.7 mph #1 #1​ (ID591)",10.5
"Running, 7 mph #1 #1​ (ID592)",11.0
"Running, 7.5 mph #1 #1​ (ID593)",11.8
"Running, 8 mph #1 #1​ (ID594)",12.0
"Running, 8.6 mph #1 #1​ (ID595)",12.5
"Running, 9 mph #1 #1​ (ID596)",13.0
"Running, 9.3 to 9.6 mph #1 #1​ (ID597)",14.8
"Running, 10 mph #1 #1​ (ID598)",14.8
"Running, 11 mph #1 #1​ (ID599)",16.8
"Running, 12 mph #1 #1​ (ID600)",18.5
"Running, 13 mph #1 #1​ (ID601)",19.8
"Running, 14 mph #1 #1​ (ID602)",23.0
"Running, cross country #1 #1​ (ID603)",9.3
"Running, self-selected pace #1 #1​ (ID604)",10.5
Running #1 #1​ (ID605),8.0
"Running, stairs, up #1 #1​ (ID606)",15.0
"Running, on a track, team practice #1 #1​ (ID607)",10.0
"Running, on track, 500-1500m, competitive #1 #1​ (ID608)",18.0
"Running, on track, 2000-3000m, competitive #1 #1​ (ID609)",19.3
"Running, training, pushing a wheelchair or baby carrier #1 #1​ (ID610)",8.0
"Running, marathon #1 #1​ (ID611)",13.3
"Running uphill, 4.5mph, 5% incline #1 #1​ (ID612)",10.3
"Running uphill, 6.0 mph, 5% incline #1 #1​ (ID613)",13.3
"Running uphill, 7.0 mph, 5% incline #1 #1​ (ID614)",15.5
"Running uphill, 5.0 to 5.9 mph, 15% incline #1 #1​ (ID615)",17.5
"Running uphill, 0.6 to 0.79 mph, 30% incline #1 #1​ (ID616)",8.8
"Running uphill, 0.8 to 0.99 mph, 30% incline #1 #1​ (ID617)",10.3
"Running uphill, 1.0 to 1.19 mph, 30% incline #1 #1​ (ID618)",11.8
"Running uphill, 1.2 to 1.39 mph, 30-40% incline #1 #1​ (ID619)",13.5
"Running uphill, 1.4 to 1.59 mph, 30% incline #1 #1​ (ID620)",14.8
"Running uphill, >1.6mph, 10-30% incline #1 #1​ (ID621)",16.3
"Running, hilly terrain, ±100m change in elevation #1 #1​ (ID622)",16.0
"Running downhill, 5.0 to 5.9 mph, -10% to -15% #1 #1​ (ID623)",5.8
"Running downhill, 6.0 to 6.9 mph, -10% to -15% #1 #1​ (ID624)",7.5
"Running downhill, 7.0 to 8.9 mph, -10% to -15% #1 #1​ (ID625)",9.0
"Running downhill, 6.0 to 7.9 mph, -3% to -9% #1 #1​ (ID626)",9.3
"Running downhill, 8.0 to 10.5 mph, -3% to -9% #1 #1​ (ID627)",13.8
"Running/jogging, curved treadmill, 3.0 to 3.9 mph #1 #1​ (ID628)",5.3
"Running/jogging, curved treadmill, 4.0 to 4.9 mph #1 #1​ (ID629)",6.5
"Running curved treadmill, 5.0 to 5.9 mph #1 #1​ (ID630)",11.0
"Running curved treadmill, 7.0 to 7.9 mph #1 #1​ (ID631)",12.0
"Running curved treadmill, 8.0 to 8.9 mph #1 #1​ (ID632)",14.0
"Running curved treadmill, 9.0 to 9.9 mph #1 #1​ (ID633)",16.8
"Running, 5.0 - 5.9 mph, 1.0 to 3.0 kg backpack #1 #1​ (ID634)",8.5
"Running, 6.0 - 6.9 mph, 1.0 to 3.0 kg backpack #1 #1​ (ID635)",9.5
"Running, 7.0 - 7.9 mph, 1.0 to 3.0 kg backpack #1 #1​ (ID636)",9.8
"Running, 8.0 - 8.9 mph, 1.0 to 3.0 kg backpack #1 #1​ (ID637)",12.0
"Running, barefoot, 3.5-5.9 mph #1 #1​ (ID638)",7.8
"Running, barefoot, 6.0-7.9 mph #1 #1​ (ID639)",12.0
"Running, barefoot, 8.0-8.9 mph #1 #1​ (ID640)",13.5
"Running, jogging stroller, indoors, 5 mph #1 #1​ (ID641)",8.0
"Running, jogging stroller, indoors, 6 mph #1 #1​ (ID642)",9.0
"Running, jogging stroller, outdoors, 5 mph #1 #1​ (ID643)",10.0
"Running, jogging stroller, outdoors, 6 mph #1 #1​ (ID644)",11.5
"Skipping, 5.5-6.0 mph #1 #1​ (ID645)",11.5
"Triathlon, Running #1 #1​ (ID646)",13.0
"Getting ready for bed, general, standing #1 #1​ (ID647)",2.3
"Sitting on toilet, eliminating while standing or  squatting #1 #1​ (ID648)",2.3
"Bathing, sitting #1 #1​ (ID649)",1.5
"Dressing, undressing, standing or sitting #1 #1​ (ID650)",2.8
"Eating, sitting #1 #1​ (ID651)",1.5
"Talking and eating or eating only, standing #1 #1​ (ID652)",2.0
"Taking medication, sitting or standing #1 #1​ (ID653)",1.5
"Grooming, washing hands, shaving, brushing  teeth, putting on make-up, sitting or standing #1 #1​ (ID654)",2.0
"Hairstyling, standing #1 #1​ (ID655)",2.5
"Having hair or nails done by someone else,  sitting #1 #1​ (ID656)",1.3
"Showering, toweling off, standing #1 #1​ (ID657)",2.0
"Active, vigorous effort #1 #1​ (ID658)",5.8
"General, moderate effort #1 #1​ (ID659)",3.0
"Passive, light effort, kissing, hugging #1 #1​ (ID660)",1.8
"Alaska Native Games, Eskimo Olympics, general #1 #1​ (ID661)",5.5
Archery #1 #1​ (ID662),4.3
"Badminton, competitive #1 #1​ (ID663)",7.0
"Badminton, competitive, match play #1 #1​ (ID664)",9.0
"Badminton, social singles and doubles, general #1 #1​ (ID665)",5.5
"Basketball, game #1 #1​ (ID666)",8.0
"Basketball, non-game, general #1 #1​ (ID667)",6.0
"Basketball, general #1 #1​ (ID668)",7.5
"Basketball, officiating #1 #1​ (ID669)",7.0
"Basketball, officiating #2 #1​ (ID670)",5.8
"Basketball, shooting baskets #1 #1​ (ID671)",5.0
"Basketball, drills, practice #1 #1​ (ID672)",9.3
Billiards #1 #1​ (ID673),2.5
Bowling #1 #1​ (ID674),3.0
"Bowling, indoor, bowling alley #1 #1​ (ID675)",3.8
"Boxing, in ring, general #1 #1​ (ID676)",12.3
"Boxing, punching bag #1 #1​ (ID677)",5.8
"Boxing, punching bag, 60 b/min #1 #1​ (ID678)",7.0
"Boxing, punching bag, 120 b/min #1 #1​ (ID679)",8.5
"Boxing, punching bag, 180 b/min #1 #1​ (ID680)",10.8
"Boxing, sparring #1 #1​ (ID681)",7.8
"Boxing, simulated boxing round, exercise #1 #1​ (ID682)",9.3
Broomball #1 #1​ (ID683),7.0
"Children’s games, adults playing #1 #1​ (ID684)",5.8
"Cheerleading, gymnastic moves, competitive #1 #1​ (ID685)",6.0
"Coaching, football, soccer, basketball, baseball, swimming, etc. #1 #1​ (ID686)",4.0
"Coaching, actively playing sport with players #1 #1​ (ID687)",8.0
"Cricket, batting, bowling, fielding #1 #1​ (ID688)",4.8
Croquet #1 #1​ (ID689),3.3
Curling #1 #1​ (ID690),4.0
"Darts, wall or lawn #1 #1​ (ID691)",2.5
"Drag racing, pushing or driving a car #1 #1​ (ID692)",6.0
"Auto racing, open wheel #1 #1​ (ID693)",8.5
Futsal #1 #1​ (ID694),7.8
"Fencing, general #1 #1​ (ID695)",6.0
"Fencing, epee, competitive #1 #1​ (ID696)",9.8
Floorball #1 #1​ (ID697),10.5
"Football, competitive #1 #1​ (ID698)",8.0
"Football, touch, flag, general #1 #1​ (ID699)",8.0
"Football, touch, flag, light effort #1 #1​ (ID700)",4.0
"Football or baseball, playing catch #1 #1​ (ID701)",2.5
"Frisbee playing, general #1 #1​ (ID702)",3.0
"Frisbee, ultimate #1 #1​ (ID703)",8.0
Frisbee golf #1 #1​ (ID704),3.8
"Golf, general #1 #1​ (ID705)",4.5
"Golf, walking, carrying clubs #1 #1​ (ID706)",4.3
"Golf, miniature, driving range #1 #1​ (ID707)",3.5
"Golf, walking, pulling clubs #1 #1​ (ID708)",4.5
"Golf, using power cart #1 #1​ (ID709)",3.5
"Gymnastics, general #1 #1​ (ID710)",3.8
Hacky sack #1 #1​ (ID711),4.0
"Handball, general #1 #1​ (ID712)",12.0
"Handball, team #1 #1​ (ID713)",8.0
"High ropes course, multiple elements #1 #1​ (ID714)",4.0
Hang gliding #1 #1​ (ID715),3.5
"Hockey, field #1 #1​ (ID716)",7.8
"Hockey, ice, general #1 #1​ (ID717)",8.0
"Hockey, ice, competitive #1 #1​ (ID718)",10.0
"Horseback riding, general #1 #1​ (ID719)",5.5
"Horse grooming, maintenance, saddling tasks #1 #1​ (ID720)",4.5
"Horseback riding, trotting #1 #1​ (ID721)",5.8
"Horseback riding, canter or gallop #1 #1​ (ID722)",7.3
"Horseback riding, walking #1 #1​ (ID723)",3.8
"Horseback riding, jumping #1 #1​ (ID724)",9.0
"Horseback riding, reining #1 #1​ (ID725)",6.0
"Horseback riding, simulator #1 #1​ (ID726)",2.1
"Horse cart, driving, standing or sitting #1 #1​ (ID727)",1.8
"Horseshoe pitching, quoits #1 #1​ (ID728)",3.0
Jai alai #1 #1​ (ID729),12.0
"Martial Arts, different types, slower pace, novice performers, practice #1 #1​ (ID730)",5.3
"Martial Arts, different types, moderate pace #1 #1​ (ID731)",10.3
"Taekwondo, combat simulation #1 #1​ (ID732)",14.3
Judo #1 #1​ (ID733),11.3
Juggling #1 #1​ (ID734),4.0
"Kendu, kihon-keiko style, moderate intensity #1 #1​ (ID735)",6.5
"Kendu, kirikaeshi style, high intensity #1 #1​ (ID736)",9.6
"Kendu, kakari keiko style, very high intensity #1 #1​ (ID737)",11.3
Kickball #1 #1​ (ID738),7.0
Kung Fu Gymnastics #1 #1​ (ID739),5.5
Kickboxing #1 #1​ (ID740),7.3
Lacrosse #1 #1​ (ID741),8.0
"Lawn bowling, bocce ball, outdoor #1 #1​ (ID742)",3.3
"Motocross, off-road motor sports, all-terrain vehicle, general #1 #1​ (ID743)",4.0
"Motorcycle racing, Supormoto racing #1 #1​ (ID744)",5.3
Netball #1 #1​ (ID745),7.0
Orienteering #1 #1​ (ID746),9.0
"Paddleball, competitive #1 #1​ (ID747)",10.0
"Paddleball, casual, general #1 #1​ (ID748)",6.0
"Paragliding, moderate altitude #1 #1​ (ID749)",1.8
Prusik climbing #1 #1​ (ID750),6.5
"Polo, on horseback #1 #1​ (ID751)",8.0
"Racquetball, competitive #1 #1​ (ID752)",10.0
"Race Walking, 3.1 m/s #1 #1​ (ID753)",10.3
"Race Walking, 3.7 m/s #1 #1​ (ID754)",13.8
"Race Walking, racing speed, 4.0 m/s #1 #1​ (ID755)",15.5
"Racquetball, general #1 #1​ (ID756)",7.0
Rock or mountain climbing #1 #1​ (ID757),8.0
"Rock climbing, free boulder #1 #1​ (ID758)",8.8
"Rock climbing, ascending rock, high difficulty #1 #1​ (ID759)",7.3
"Rock climbing, speed climbing, very difficult #1 #1​ (ID760)",10.5
"Rock climbing, ascending or traversing rock, low-to-moderate difficulty #1 #1​ (ID761)",5.8
"Rock climbing, treadwall, 4-6 m/min #1 #1​ (ID762)",10.5
"Rock climbing, treadwall, 7-10 m/min #1 #1​ (ID763)",10.5
"Rock climbing, rappelling, #1 #1​ (ID764)",5.0
"Rodeo sports, general, light effort #1 #1​ (ID765)",4.0
"Rodeo sports, general, moderate effort #1 #1​ (ID766)",5.5
"Rodeo sports, general, vigorous effort #1 #1​ (ID767)",7.0
"Rope jumping, fast pace, 120-160 skips/min #1 #1​ (ID768)",12.3
"Rope jumping, moderate pace, general, 100 to 120 skips/min, 2 foot skip, plain bounce #1 #1​ (ID769)",11.8
"Rope jumping, slow pace, < 100 skips/min, 2 foot skip, rhythm bounce #1 #1​ (ID770)",8.3
"Rope jumping, double under or more #1 #1​ (ID771)",10.0
"Rugby, union, team, competitive #1 #1​ (ID772)",8.3
"Rugby, touch, non-competitive #1 #1​ (ID773)",6.3
Shuffleboard #1 #1​ (ID774),3.0
"Skateboarding, general, moderate effort #1 #1​ (ID775)",5.0
"Skateboarding, competitive, vigorous effort #1 #1​ (ID776)",6.0
"Skating, roller #1 #1​ (ID777)",7.0
"Roller blading, in-line skating, 14.4 km/h #1 #1​ (ID778)",7.5
"Roller blading, in-line skating, 17.7 km/h #1 #1​ (ID779)",9.8
"Roller blading, in-line skating, 21.0 to 21.7 km/h #1 #1​ (ID780)",12.3
"Rollerblading, in-line skating, 24.0 km/h #1 #1​ (ID781)",15.5
"Skateboard, longboard, 13.3 km/h, slow speed #1 #1​ (ID782)",6.8
"Skateboard, longboard, 16.2 km/h, typical speed #1 #1​ (ID783)",8.3
"Skateboard, longboard, 18.4 km/h, fast speed #1 #1​ (ID784)",10.5
"Skydiving, base-jumping, bungee jumping #1 #1​ (ID785)",3.5
"Soccer, competitive #1 #1​ (ID786)",9.5
"Soccer, casual, general #1 #1​ (ID787)",7.0
Walking football/soccer #1 #1​ (ID788),3.5
"Softball or baseball, fast or slow pitch, general, moderate effort #1 #1​ (ID789)",5.0
"Softball, practice #1 #1​ (ID790)",4.0
"Softball, officiating #1 #1​ (ID791)",4.0
"Softball, pitching #1 #1​ (ID792)",6.0
"Sports spectator, very excited, emotional, physically moving #1 #1​ (ID793)",3.3
Squash #1 #1​ (ID794),12.0
"Squash, general #1 #1​ (ID795)",7.3
"Table tennis, ping pong #1 #1​ (ID796)",4.0
"Tai chi, qi gong, general #1 #1​ (ID797)",3.3
"Tai chi, qi gong, sitting, light effort #1 #1​ (ID798)",1.5
"Tai chi chuan, Yang style #1 #1​ (ID799)",6.0
"Tennis, general, moderate effort #1 #1​ (ID800)",6.8
"Tennis, general, competitive #1 #1​ (ID801)",8.0
"Tennis, doubles #1 #1​ (ID802)",6.0
"Tennis, doubles #2 #1​ (ID803)",4.5
"Tennis, singles #1 #1​ (ID804)",8.0
"Tennis, hitting balls, non-game play, moderate effort #1 #1​ (ID805)",5.0
"Trampoline, recreational #1 #1​ (ID806)",6.3
"Trampoline, competitive #1 #1​ (ID807)",10.3
Volleyball #1 #1​ (ID808),4.0
"Volleyball, competitive, in gymnasium #1 #1​ (ID809)",6.0
"Volleyball, non-competitive, 6 - 9 member team, general #1 #1​ (ID810)",3.0
"Volleyball, beach, in sand #1 #1​ (ID811)",8.0
"Wrestling, competitive #1 #1​ (ID812)",6.0
"Wallyball, general #1 #1​ (ID813)",7.0
Track and field #1 #1​ (ID814),4.0
Track and field #2 #1​ (ID815),6.0
Track and field #3 #1​ (ID816),10.0
"Bicycling for transportation, moderate effort #1 #1​ (ID817)",6.8
"Bicycling for transportation, high effort #1 #1​ (ID818)",9.3
E-bike #4 #1​ (ID819),6.8
Automobile or light truck #1 #1​ (ID820),2.0
Riding in a car or truck #1 #1​ (ID821),1.3
Riding in a bus or train #1 #1​ (ID822),1.3
Flying airplane or helicoptor #1 #1​ (ID823),1.8
"Motor scooter, motorcycle #1 #1​ (ID824)",2.8
Pulling rickshaw #1 #1​ (ID825),6.3
Pushing plane in and out of hangar #1 #1​ (ID826),6.0
"Truck, semi, tractor, ≥1 ton, or bus, driving #1 #1​ (ID827)",2.5
"Walking for transportation, 2.8-3.2 mph, level, moderate pace, firm surface #1 #1​ (ID828)",3.5
Backpacking #1 #1​ (ID829),7.0
"Walking with a day pack, level ground, assumed in the city #1 #1​ (ID830)",3.5
"Backpacking,  hiking with a daypack, organized walking with daypack #1 #1​ (ID831)",7.8
Carrying 5 to 14 lb #1 #1​ (ID832),4.0
Carrying 15 - 155 lb #1 #1​ (ID833),4.5
Carrying 50 to 150 pound load #1 #1​ (ID834),6.5
"Carrying ~10 lb child, slow walking #1 #1​ (ID835)",2.3
"Carrying load upstairs, general #1 #1​ (ID836)",8.3
"Carrying load, 1 to 15 lb load, upstairs #1 #1​ (ID837)",5.5
"Carrying load, 16 to 24 lb load, upstairs #1 #1​ (ID838)",6.0
"Carrying load, 25 to 49 lb load, upstairs #1 #1​ (ID839)",8.0
"Carrying load, 50 to 74 lb load, upstairs #1 #1​ (ID840)",10.0
"Carrying load, >74 lb load, upstairs #1 #1​ (ID841)",12.0
"Loading  and/or unloading a car, implied walking #1 #1​ (ID842)",3.8
"Climbing hills, no load, 5 to 20% grade, very slow pace #1 #1​ (ID843)",5.0
"Climbing hills, 15-50 lb load, 1 to 2% grade, slow pace #1 #1​ (ID844)",3.8
"Climbing hills, no load, 1 to 5% grade, moderate-to-brisk pace #1 #1​ (ID845)",5.3
"Climbing hills, no load, 6 to 10% grade, moderate-to-brisk pace #1 #1​ (ID846)",7.0
"Climbing hills, no load, 11 to 20% grade, slow-to-moderate pace #1 #1​ (ID847)",8.8
"Climbing hills, no load, 4.0 to 5.0 mph, 3 to 5% grade, very fast pace #1 #1​ (ID848)",10.0
"Climbing hills, no load, steep grade #1 #1​ (ID849)",8.5
